Name,address,star,Rating+Noreview,Rank,price,seat,openclosedate-time,type,facilities
Luka,"64, 3 ถนนปั้น กรุงเทพมหานคร",4, 196 เรตติ้ง (149 รีวิว),"อันดับ #11 จาก 27,926", (251 - 500 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['08:00 - 17:30']},"ร้านกาแฟ/ชา,คาเฟ่,อาหารเช้า,","[{'Luka': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Karo Coffee,"52, ปรีดีพนมยงค์ 26 Phra Khanong Nuea Watthana Bangkok กรุงเทพมหานคร",4.1, 104 เรตติ้ง (80 รีวิว),"อันดับ #12 จาก 27,926", (101 - 250 บาท),,{'ทุกวัน': ['06:00 - 18:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,อาหารเช้า,","[{'Karo Coffee': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Bar-Cony (Bar Cony),"ซอยหมู่บ้านดิโอโซน, อนุสาวรีย์, กรุงเทพมหานคร, 10220, ประเทศไทย กรุงเทพมหานคร",3.9, 87 เรตติ้ง (65 รีวิว),"อันดับ #13 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:00 - 18:30']},"ร้านกาแฟ/ชา,","[{'Bar-Cony (Bar Cony)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
TINPRESSO (ธินเพรสโซ),ซอยวชิรธรรมสาธิต 21 กรุงเทพมหานคร (เข้ามาในหมู่บ้าน ร้านอยู่ซ้ายมือห่างจากป้อมยาม 10 เมตร ครับ),4, 224 เรตติ้ง (164 รีวิว),"อันดับ #14 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:30 - 18:00']},"ร้านกาแฟ/ชา,","[{'TINPRESSO (ธินเพรสโซ)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Brewlab (บรูวแลป),4 ถนนพระราม 9 ซอย 41 แยก 18 กรุงเทพมหานคร (หลัง The Nine),4.1, 54 เรตติ้ง (31 รีวิว),"อันดับ #27 จาก 7,728", (101 - 250 บาท),,{'พุธ - อาทิตย์': ['10:00 - 18:00']},"คาเฟ่,ร้านกาแฟ/ชา,","[{'Brewlab (บรูวแลป)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Rolling Roasters Coffee (Rolling Roasters),"30 ถนนบางพรม แขวง บางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170 ไทย, - บางพรม ตลิ่งชัน กรุงเทพมหานคร กรุงเทพมหานคร",4.1, 56 เรตติ้ง (51 รีวิว),"อันดับ #29 จาก 7,728", (101 - 250 บาท),มากกว่า 150 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:00 - 17:30'], 'เสาร์, อาทิตย์': ['08:00 - 17:30']}","คาเฟ่,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Rolling Roasters Coffee (Rolling Roasters)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Red Diamond Cafe,733 ถนนสังคมสงเคราะห์ กรุงเทพมหานคร (อยู่ต้นซอยสังคมสงเคราะห์ จากถนนประดิษฐ์มนูญธรรม  ร้านอยู่ซ้ายมือ ที่จอดรถอยู่ขวามือ),4.1, 228 เรตติ้ง (178 รีวิว),"อันดับ #17 จาก 27,926", (101 - 250 บาท),81 - 150  ที่นั่ง,{'ทุกวัน': ['07:00 - 18:00']},"ร้านกาแฟ/ชา,","[{'Red Diamond Cafe': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Sway Gray Coffee,"48, พระรามที่ 2 ซอย 60 แสมดำ บางขุนเทียน กรุงเทพมหานคร กรุงเทพมหานคร (เข้าซอยพระรามที่ 2 ซอย 60 ไปประมาณ 200 ม. ซ้ายมือเป็นการไฟฟ้าบางขุนเทียน ให้เลี้ยวขวา อยู่ขวามือห้องแรก ตรงข้ามกับ ซักอบ 24 ชม.)",3.9, 64 เรตติ้ง (45 รีวิว),"อันดับ #19 จาก 27,926", (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,{'จันทร์ - เสาร์': ['08:00 - 17:00']},"ร้านกาแฟ/ชา,ของหวาน,","[{'Sway Gray Coffee': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Bluetamp Cafe (Bluetamp Cafe - specialty coffee and all day brunch),553 ถ. ประดิษฐ์มนูธรรม แขวงสะพานสอง เขตวังทองหลาง กรุงเทพมหานคร 10310 กรุงเทพมหานคร,4.1, 156 เรตติ้ง (122 รีวิว),"อันดับ #31 จาก 7,728", (251 - 500 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:00 - 18:00']},"คาเฟ่,ร้านกาแฟ/ชา,อาหารเช้า,","[{'Bluetamp Cafe (Bluetamp Cafe - specialty coffee and all day brunch)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
MTCH,1-67 พหลโยธิน 5 เขตพญาไท กรุงเทพมหานคร 10400 กรุงเทพมหานคร,4.1, 84 เรตติ้ง (64 รีวิว),"อันดับ #21 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์': ['09:00 - 18:00'], 'พุธ - อาทิตย์': ['09:00 - 18:00']}","ร้านกาแฟ/ชา,","[{'MTCH': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True}]"
พบหน้า,"12/13 
Thanon Convent, ซอยข้างร้าน la dotta สีลม บางรัก กรุงเทพมหานคร กรุงเทพมหานคร",4.2, 43 เรตติ้ง (31 รีวิว),"อันดับ #35 จาก 7,728", (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - พุธ': ['08:30 - 16:30'], 'พฤหัสบดี': ['08:00 - 21:30'], 'ศุกร์': ['07:30 - 21:30'], 'เสาร์': ['08:30 - 16:30']}","คาเฟ่,ร้านกาแฟ/ชา,","[{'พบหน้า': True, 'ที่จอดรถ': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
SATI Handcraft (สติ แฮนด์คราฟท์),"110/4, ระหว่างซอย อารีย์สัมพันธ์ 5 และ 6 สามเสนใน พญาไท กรุงเทพมหานคร กรุงเทพมหานคร (ตัวร้านตั้งอยู่บริเวณสวนด้านหลังร้าน""Made here on earth)",3.9, 95 เรตติ้ง (83 รีวิว),"อันดับ #23 จาก 27,926", (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['08:00 - 20:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,อาหารเช้า,","[{'SATI Handcraft (สติ แฮนด์คราฟท์)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
The Mandarin Oriental Shop (แมนดาริน โอเรียนเต็ล ช็อป),"991, ถนนพระราม 1, ปทุมวัน, กรุงเทพมหานคร, 10330, ประเทศไทย กรุงเทพมหานคร (Siam Paragon ชั้น G)",4.1, 300 เรตติ้ง (236 รีวิว),"อันดับ #27 จาก 19,159", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['10:00 - 21:00']},"เบเกอรี/เค้ก,ร้านกาแฟ/ชา,","[{'The Mandarin Oriental Shop (แมนดาริน โอเรียนเต็ล ช็อป)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True}]"
Ministry of Roasters กระทรวงการคั่ว (กระทรวงการคั่ว),"1, Soi Wachira Tham Sathit 9, Bang Chak, Bangkok, 10260, Thailand กรุงเทพมหานคร (อยู่ติดกับโลตัส?)",4.1, 83 เรตติ้ง (69 รีวิว),"อันดับ #25 จาก 27,926", (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['08:00 - 19:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,เครื่องดื่ม/น้ำผลไม้,","[{'Ministry of Roasters กระทรวงการคั่ว (กระทรวงการคั่ว)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
November Cafe (November Cafe),ถนนพุทธมณฑลสาย 2 กรุงเทพมหานคร,3.9, 96 เรตติ้ง (61 รีวิว),อันดับ #3 จาก 713, (101 - 250 บาท),41 - 80 ที่นั่ง,"{'จันทร์ - พุธ': ['10:30 - 21:00'], 'ศุกร์ - อาทิตย์': ['10:30 - 21:00']}","อาหารไทย,ร้านกาแฟ/ชา,อาหารเหนือ,","[{'November Cafe (November Cafe)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
นานาคอฟฟี่ โรสเตอร์ส (Nana Coffee Roasters),ค่าส่งเริ่มต้น 0 บาท *ภายในระยะทางที่กำหนด,4.2, 148 เรตติ้ง (120 รีวิว),"อันดับ #27 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:00 - 17:30'], 'เสาร์, อาทิตย์': ['08:00 - 17:30']}","ร้านกาแฟ/ชา,เครื่องดื่ม/น้ำผลไม้,","[{'นานาคอฟฟี่ โรสเตอร์ส (Nana Coffee Roasters)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
ซงเต๋อ (ZONGTER),"เลขที่ 111 ตรอกอิศรานุภาพ แขวงสัมพัธวงศ์
เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 กรุงเทพมหานคร",3.9, 73 เรตติ้ง (52 รีวิว),อันดับ #8 จาก 270, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['09:00 - 18:00']},"อาหารจีน,ติ่มซำ,ร้านกาแฟ/ชา,","[{'ซงเต๋อ (ZONGTER)': True, 'ที่จอดรถ': False, 'Wi-Fi': False, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Koble Coffee,"63, Soi Sukhumvit 49/4, Khlong Tan Nuea, Bangkok, 10110, Thailand กรุงเทพมหานคร",4.2, 54 เรตติ้ง (42 รีวิว),"อันดับ #29 จาก 27,926", (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,{'ทุกวัน': ['07:30 - 16:00']},"ร้านกาแฟ/ชา,","[{'Koble Coffee': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
JJ Coffee (JJ กาแฟสด),"-, แสมดำ แสมดำ บางขุนเทียน กรุงเทพมหานคร กรุงเทพมหานคร (ร้านกาแฟ JJ อยู่ที่ร้านก๋วยเตี๋ยวเรือแม่ภา ปากซอยแสมดำ 15)",3.9, 228 เรตติ้ง (193 รีวิว),"อันดับ #30 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['07:00 - 17:00']},"ร้านกาแฟ/ชา,","[{'JJ Coffee (JJ กาแฟสด)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
The Coffee Club (เดอะ คอฟฟี่ คลับ),ค่าส่งเริ่มต้น 0 บาท *ภายในระยะทางที่กำหนด,4.1, 95 เรตติ้ง (59 รีวิว),"อันดับ #31 จาก 27,926", (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['07:00 - 22:00']},"ร้านกาแฟ/ชา,อาหารเจ,เบเกอรี/เค้ก,","[{'The Coffee Club (เดอะ คอฟฟี่ คลับ)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
Eureka Coffee Tap Saladaeng,14/7 ถนน สาทรเหนือ  สาทร ซอย  2 กรุงเทพมหานคร (จากสาทรเข้าซอย สาทร 2 จากศาลาแดง 1 ฝั่งถนนพระรรม 4 เจอสามแยกแรก เลี้ยวซ้าย ร้านอยู่ขวามือ),3.8, 127 เรตติ้ง (106 รีวิว),"อันดับ #46 จาก 7,728", (251 - 500 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:00 - 20:00']},"คาเฟ่,ร้านกาแฟ/ชา,","[{'Eureka Coffee Tap Saladaeng': True, 'ที่จอดรถ': False, 'Wi-Fi': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Duck You Caferista (Duck You Cafe Rista),ซอย รามคำแหง 78 กรุงเทพมหานคร,4.1, 49 เรตติ้ง (38 รีวิว),"อันดับ #1 จาก 1,017", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['07:30 - 15:00']},"ร้านกาแฟ/ชา,","[{'Duck You Caferista (Duck You Cafe Rista)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
LYNX (ร้านกาแฟลิงซ์),"948, ถนนเทอดไท ตลาดพลู ธนบุรี กรุงเทพมหานคร กรุงเทพมหานคร (ปากซอย เทอดไท 20/1)",4.1, 125 เรตติ้ง (97 รีวิว),"อันดับ #34 จาก 27,926", (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['09:00 - 18:00']},"ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'LYNX (ร้านกาแฟลิงซ์)': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
bite and bond,"35, 35 ซอยนาวา ถนนบำรุงเมือง เสาชิงช้า พระนคร กรุงเทพมหานคร กรุงเทพมหานคร (Double B Hostel)",4.1, 14 เรตติ้ง (12 รีวิว),"อันดับ #35 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:00 - 17:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'bite and bond': True, 'ที่จอดรถ': False, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Limitless Roaster (Limitless Roaster),"194/15, Thanon Suan Phak ตลิ่งชัน ตลิ่งชัน กรุงเทพมหานคร กรุงเทพมหานคร",4.1, 90 เรตติ้ง (48 รีวิว),อันดับ #4 จาก 123, (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:00 - 17:30'], 'เสาร์, อาทิตย์': ['08:00 - 17:00']}","คาเฟ่,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Limitless Roaster (Limitless Roaster)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
BOFFKOOL.BKK,"1, ซอย ลาดพร้าว 3 จอมพล จตุจักร กรุงเทพมหานคร กรุงเทพมหานคร (อาคารพร้อมพันธุ์ 2 ชั้น 1)",4, 15 เรตติ้ง (4 รีวิว),อันดับ #6 จาก 447, (101 - 250 บาท),11 - 40 ที่นั่ง,{'จันทร์ - เสาร์': ['08:30 - 17:00']},"คาเฟ่,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'BOFFKOOL.BKK': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
CHEF NEXT DOOR BKK (เชฟ เน็คซ์ ดอร์),99 ซ.คลองน้ำแก้ว ถ.ลาดพร้าว 42 สามเสนนอก ห้วยขว้าง 10310 กรุงเทพมหานคร,4, 26 เรตติ้ง (14 รีวิว),"อันดับ #1 จาก 1,259"," (501 - 1,000 บาท)",11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['11:00 - 23:00']},"อาหารไทย,ร้านกาแฟ/ชา,เครื่องดื่ม/น้ำผลไม้,","[{'CHEF NEXT DOOR BKK (เชฟ เน็คซ์ ดอร์)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
Pulse Bang Khun Thian,728 ถนนบางขุนเทียน-ชายทะเล แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร ประเทศไทย 10150 กรุงเทพมหานคร (ริมถนนบางขุนเทียนชายทะเล),3.9, 55 เรตติ้ง (45 รีวิว),"อันดับ #40 จาก 27,926", (101 - 250 บาท),,{'อังคาร - อาทิตย์': ['10:00 - 18:30']},"ร้านกาแฟ/ชา,","[{'Pulse Bang Khun Thian': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': True}]"
Six Brew Coffee,"41/32, ถนนลาดปลาเค้า จรเข้บัว ลาดพร้าว กรุงเทพมหานคร กรุงเทพมหานคร (ตึก 4 ชั้นสีดำ อยู่ตรงข้ามปั๊ม ปตท)",4.1, 42 เรตติ้ง (32 รีวิว),"อันดับ #41 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - พุธ': ['07:00 - 21:30'], 'พฤหัสบดี - อาทิตย์': ['07:00 - 23:00']}","ร้านกาแฟ/ชา,เบเกอรี/เค้ก,อาหารเช้า,","[{'Six Brew Coffee': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
Roots at Sathon,"33,31 ถนนสาทรใต้ ตึก Bhiraj Sathon ชั้น 1 กรุงเทพมหานคร (ติดกับ BTS สุรศักดิ์ ทางออกที่ 4)",4, 143 เรตติ้ง (107 รีวิว),"อันดับ #42 จาก 27,926", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['07:00 - 19:00']},"ร้านกาแฟ/ชา,","[{'Roots at Sathon': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
